,id,date_initialized,date_updated,user_id
560,35288,2017-03-22 17:47:02.578205+00:00,2017-07-08 17:22:56.945871+00:00,37463
561,44248,2017-03-23 14:19:28.154222+00:00,2017-05-12 15:11:13.570484+00:00,47294
562,33143,2017-01-14 15:17:18.967860+00:00,2017-04-17 21:36:53.481777+00:00,35267
563,46043,2017-03-29 21:23:15.998509+00:00,2017-05-02 04:01:09.456418+00:00,49198
564,45464,2017-03-28 16:55:18.656714+00:00,2017-12-04 16:06:00.859603+00:00,48602
565,33444,2017-01-26 17:47:44.710066+00:00,2018-11-08 07:20:04.997628+00:00,35583
566,33627,2017-03-14 17:13:19.420154+00:00,2017-03-24 18:02:49.708523+00:00,35774
567,44165,2017-03-24 06:27:33.638071+00:00,2017-05-15 03:33:32.820867+00:00,47206
568,38601,,,41019
569,36514,,,38733
570,34627,2017-01-27 04:40:23.192169+00:00,2017-08-03 14:49:48.308265+00:00,36788
571,41239,,,44077
572,45228,,,48359
573,35065,2017-01-30 03:39:07.327962+00:00,2017-02-09 13:48:04.177996+00:00,37235
574,39015,,,41604
575,35255,2017-01-31 19:02:10.443303+00:00,2017-02-22 23:51:42.425231+00:00,37429
576,45486,,,48624
577,35183,2017-01-30 21:56:31.547249+00:00,2017-01-31 19:55:58.586963+00:00,37356
578,46357,2017-03-31 23:48:10.402488+00:00,2017-04-03 18:39:38.949798+00:00,49520
579,44222,,,47266
580,32466,,,34593
581,43370,,,46377
582,36216,2017-02-06 23:56:31.282442+00:00,2017-03-08 23:00:58.425149+00:00,38418
583,45966,,,49114
584,36736,2017-02-09 15:45:22.554972+00:00,2017-02-09 15:49:31.408809+00:00,38961
585,46262,2017-03-30 03:56:22.002091+00:00,2017-06-22 22:52:16.418807+00:00,49422
586,38887,2017-02-25 04:18:35.907676+00:00,2018-04-17 15:49:10.801199+00:00,41397
587,33810,2017-01-21 06:35:42.559650+00:00,2017-07-14 04:58:44.871116+00:00,35957
588,34861,2017-01-31 01:47:36.116832+00:00,2017-10-07 19:03:01.609517+00:00,37026
589,33300,2017-01-16 13:28:23.305148+00:00,2017-06-06 12:19:57.760290+00:00,35430
590,35639,,,37829
591,44049,,,47085
592,44465,,,47534
593,36475,2017-02-10 06:08:26+00:00,2018-08-20 21:24:55.843547+00:00,38689
594,45726,,,48869
595,35748,,,37938
596,45590,2017-03-29 14:15:29.116670+00:00,2018-08-20 21:43:44.086253+00:00,48730
597,33026,,,35155
598,33045,2017-03-17 02:41:37.969771+00:00,2017-03-23 00:46:24.454157+00:00,35174
599,36757,,,38982
600,42043,2017-03-15 22:42:57.918870+00:00,2017-06-12 13:56:36.520912+00:00,44943
601,33426,,,21922
602,42541,2017-03-17 18:45:18.730119+00:00,2017-07-05 22:56:49.990081+00:00,45475
603,43050,2017-03-31 16:03:37.933670+00:00,2017-07-08 19:30:55.130522+00:00,46049
604,43966,,,46996
605,33359,2017-01-17 00:53:50.648330+00:00,2017-06-23 17:13:30.815394+00:00,35491
606,31730,,,33844
607,45431,2017-03-28 15:13:31.610864+00:00,2018-08-20 22:12:24.509852+00:00,48565
608,34450,,,36606
609,44881,2017-03-27 06:11:41.869906+00:00,2017-10-09 14:19:06.271340+00:00,47993
610,40268,2017-03-07 16:59:29+00:00,2018-09-14 01:20:48.034311+00:00,43034
611,36390,2017-02-08 19:12:31.734837+00:00,2017-08-17 20:06:10.851405+00:00,38606
612,40122,2017-03-06 15:42:59.547473+00:00,2017-09-12 22:52:05.542169+00:00,42875
613,32088,2017-03-25 01:27:18.135889+00:00,2018-07-13 14:12:21.313502+00:00,34213
614,45951,,,49098
615,35685,,,37876
616,37493,2017-02-15 03:49:12.469417+00:00,2017-03-01 05:40:14.057443+00:00,39762
617,36130,,,38325
618,32141,2017-01-05 17:33:45.244371+00:00,2018-02-02 19:46:33.066088+00:00,33500
619,36037,,,38228
620,36063,,,38255
621,36115,,,38307
622,37089,2017-03-10 17:05:18+00:00,2017-06-10 21:50:25.202296+00:00,39313
623,45181,2017-03-27 23:26:46.312410+00:00,2017-04-16 20:53:51.278036+00:00,48305
624,36183,,,38381
625,36598,,,38818
626,37494,2017-02-15 03:52:03.649929+00:00,2017-03-08 15:02:16.220055+00:00,39762
627,36954,,,39185
628,37414,,,39668
629,37457,,,39725
630,38045,2017-02-23 14:45:30.219746+00:00,2017-07-17 13:49:06.562398+00:00,40383
631,42812,,,45757
632,37084,2017-02-11 19:28:10.812723+00:00,2017-11-10 19:05:13.433292+00:00,39308
633,37995,,,40328
634,38066,,,40413
635,38297,,,40677
636,38311,,,40693
637,38726,,,41167
638,44092,2017-03-24 00:36:16.198547+00:00,2017-09-02 18:03:20.794999+00:00,47130
639,38707,,,41145
640,41036,2017-03-10 21:06:17.914767+00:00,2019-02-26 19:39:09.122208+00:00,1609
641,39407,,,42076
642,38738,,,41180
643,38730,,,41172
644,44315,,,47371
645,38734,,,41176
646,39901,,,42618
647,33460,2017-01-18 00:46:09.914623+00:00,2018-01-09 15:53:26.832579+00:00,35600
648,45148,,,48273
649,36006,,,38196
650,40000,2017-03-04 19:01:10.778960+00:00,2018-11-09 15:21:03.333716+00:00,41469
651,41415,2017-03-14 21:09:57+00:00,2017-08-14 17:52:51.849989+00:00,44264
652,41057,,,43879
653,41350,,,44196
654,37522,,,39794
655,45680,2017-03-29 01:23:59.405806+00:00,2017-10-05 14:20:31.319449+00:00,48820
656,31889,,,34011
657,41927,,,44821
658,39420,2017-03-01 01:07:14.743467+00:00,2018-01-18 21:39:56.195718+00:00,42091
659,46323,,,49484
660,46330,,,49491
661,32102,2017-01-05 04:05:03.824632+00:00,2017-11-29 14:24:12.745603+00:00,34230
662,45380,,,48510
663,45417,,,48548
664,45418,,,48549
665,33135,2017-01-14 08:33:58.016632+00:00,2017-03-05 17:14:40.625509+00:00,35259
666,34458,2017-01-26 04:21:08.729453+00:00,2017-02-01 17:53:18.312631+00:00,34378
667,36635,2017-02-08 23:42:10.646280+00:00,2017-03-08 23:31:22.636481+00:00,38855
668,36645,2017-02-08 23:53:46+00:00,2017-03-01 03:06:48.892357+00:00,38865
669,33601,2017-01-22 04:19:30.079982+00:00,2017-02-01 20:18:18.646655+00:00,35745
670,34824,2017-01-28 17:49:34.176037+00:00,2017-09-02 09:01:57.671395+00:00,36986
671,45437,,,48571
672,39430,2017-03-01 02:09:11.154289+00:00,2017-03-08 20:21:36.237132+00:00,42101
673,31906,2017-01-03 19:17:15.686993+00:00,2017-06-30 00:58:01.156955+00:00,34029
674,42373,,,45300
675,45588,2017-03-28 21:34:52.157449+00:00,2017-05-26 19:53:52.024007+00:00,45964
676,45445,,,48580
677,32134,2017-01-05 16:34:12.879544+00:00,2017-03-18 17:49:34.222410+00:00,34239
678,40022,2017-03-05 00:21:18.799548+00:00,2017-08-21 08:02:34.129137+00:00,42753
679,43249,2017-03-20 23:43:46.787724+00:00,2017-04-07 04:06:17.155924+00:00,46252
680,45446,,,48581
681,43250,,,46253
682,45447,,,48582
683,43252,,,46255
684,45448,,,48583
685,43253,2017-03-23 01:16:31.627024+00:00,2017-08-12 06:17:46.439639+00:00,46256
686,45450,,,48586
687,44468,,,47537
688,43254,,,46257
689,46334,,,49495
690,43255,,,46258
691,45452,,,48588
692,44269,,,47320
693,34149,2017-01-24 04:21:45.122016+00:00,2017-07-27 19:33:55.954812+00:00,36297
694,43256,,,46259
695,46336,,,49497
696,46337,,,49499
697,42699,2017-03-18 00:38:25.353729+00:00,2017-04-07 18:53:14.580795+00:00,45635
698,45455,,,48592
699,45457,,,48595
700,44474,,,47544
701,46339,,,49501
702,43259,,,46263
703,46340,,,49502
704,44476,,,47546
705,45458,,,48597
706,44479,,,47549
707,45461,,,48599
708,44480,,,47550
709,45460,2017-03-28 16:52:06.774375+00:00,2018-08-20 21:34:00.611835+00:00,48598
710,44481,,,47551
711,46345,,,49508
712,46346,2017-03-30 13:35:41.488125+00:00,2017-05-23 22:20:47.046195+00:00,49509
713,43265,2017-03-20 23:58:04.473849+00:00,2017-04-26 20:44:31.422742+00:00,46270
714,44483,,,47553
715,46347,,,49510
716,43267,,,46272
717,44484,,,41098
718,45465,,,48603
719,43268,,,46273
720,43270,2017-03-21 00:26:53.307937+00:00,2017-04-14 18:29:21.757921+00:00,46275
721,44487,,,47557
722,43271,2017-03-24 14:31:29.506105+00:00,2017-06-10 16:18:15.421256+00:00,46277
723,38076,2017-02-19 23:32:16.675880+00:00,2017-05-12 03:31:53.601025+00:00,40424
724,44488,,,47558
725,44489,,,47559
726,44492,,,47562
727,43277,,,46283
728,46353,,,49516
