,id,date_cancelled,date_resumed
97,6539,2017-01-25 16:12:33.611351+00:00,
98,6541,2017-01-18 19:37:22.107462+00:00,
99,6545,2017-01-25 06:37:01.926464+00:00,
100,6546,2017-01-19 03:57:56.071478+00:00,
101,6547,2017-01-19 03:58:08.725165+00:00,
102,6550,2017-01-19 17:20:43.505990+00:00,
103,6552,2017-01-25 19:04:22.614959+00:00,
104,6553,2017-01-25 19:13:51.283741+00:00,
105,6556,2017-01-25 19:13:14.223004+00:00,
106,6559,2017-01-25 21:08:28.412820+00:00,
107,6560,2017-01-20 22:14:35.312012+00:00,
108,6561,2017-01-21 08:41:22.476420+00:00,
109,6569,2017-01-22 18:07:17.334208+00:00,
110,6572,2016-06-23 18:06:38.700270+00:00,
111,6573,2016-06-23 18:06:38.700270+00:00,
112,6574,2017-01-23 15:37:36.991337+00:00,
113,6526,2017-01-17 05:04:37.848911+00:00,2017-01-25 23:23:29.221147+00:00
114,6566,2017-01-21 00:21:56.764591+00:00,2017-02-01 02:26:52.791172+00:00
115,6525,2017-01-25 20:46:27.915246+00:00,2017-04-17 19:09:06.642901+00:00
116,6528,2017-01-16 01:12:41.163813+00:00,2017-05-21 01:03:43.075151+00:00
117,6527,2017-01-18 03:21:31.249663+00:00,2017-06-13 20:03:09.962628+00:00
118,6523,2017-01-25 04:55:13.648792+00:00,2018-08-21 16:11:23.726183+00:00
119,6577,2017-01-23 18:17:43.512596+00:00,
120,6579,2017-01-23 18:58:00.423867+00:00,
121,6580,2017-01-23 19:53:42.858495+00:00,
122,6584,2017-01-24 03:39:51.913264+00:00,
123,6586,2017-01-24 06:40:33.974172+00:00,
124,6589,2017-01-24 18:54:46.267456+00:00,
125,6595,2017-01-25 17:33:41.402002+00:00,
126,6599,2017-01-25 20:59:48.836796+00:00,
127,6605,2017-01-25 22:45:26.113190+00:00,
128,6611,2017-01-26 00:44:56.016783+00:00,
129,6581,2017-01-23 20:57:04.198598+00:00,2017-04-24 22:42:13.939692+00:00
130,6608,2017-01-25 23:17:58.714176+00:00,2017-05-25 17:22:38.615943+00:00
131,6591,2017-01-24 23:29:32.833791+00:00,2017-06-15 21:42:45.913301+00:00
132,6613,2017-01-26 01:23:42.630501+00:00,
133,6614,2017-01-26 02:22:07.800901+00:00,
134,6617,2017-01-26 03:04:42.202838+00:00,
135,6620,2017-01-26 14:48:24.373547+00:00,
136,6623,2017-01-26 17:41:20.555712+00:00,
137,6625,2017-01-26 19:06:37.225014+00:00,
138,6628,2017-01-26 20:06:28.246156+00:00,
139,6631,2017-01-26 20:13:15.486293+00:00,
140,6634,2017-01-26 20:32:43.657565+00:00,
141,6636,2017-01-26 21:08:57.526331+00:00,
142,6637,2017-01-26 21:09:15.408433+00:00,
143,6640,2017-01-26 22:20:39.164964+00:00,
144,6644,2017-01-27 00:05:51.960014+00:00,
145,6645,2017-01-27 00:10:33.755615+00:00,
146,6646,2017-01-27 00:18:52.151982+00:00,
147,6649,2017-01-27 04:35:12.286109+00:00,
148,6651,2017-01-27 07:41:08.644179+00:00,2017-01-28 07:59:58.807318+00:00
149,6630,2017-01-26 20:11:08.029748+00:00,2017-04-20 21:14:13.931527+00:00
150,6661,2017-01-27 19:03:02.366952+00:00,2017-08-01 18:40:22.980422+00:00
151,6626,2017-01-26 19:21:17.546533+00:00,2017-05-30 22:43:01.208987+00:00
152,6655,2017-01-27 16:48:01.157340+00:00,2017-01-27 17:30:30.550429+00:00
153,6662,2017-01-27 19:08:38.768627+00:00,
154,6663,2017-01-27 19:10:17.720639+00:00,
155,6671,2017-01-27 20:56:45.734232+00:00,
156,6672,2017-01-27 21:09:46.749465+00:00,
157,6673,2017-01-27 21:12:38.399782+00:00,
158,6679,2017-01-27 23:31:52.303444+00:00,
159,6659,2017-01-27 18:23:11.216927+00:00,2017-01-28 00:21:16.183122+00:00
160,6682,2017-01-28 01:04:39.390957+00:00,
161,6684,2017-01-28 01:12:42.123519+00:00,
162,6686,2017-01-28 01:36:35.999383+00:00,
163,6688,2017-01-28 02:44:10.802239+00:00,
164,6689,2017-01-28 03:03:35.656103+00:00,2017-01-28 03:04:56.296407+00:00
165,6690,2017-01-28 03:14:50.008532+00:00,
166,6695,2017-01-28 04:51:35.559309+00:00,2017-01-28 04:51:56.230124+00:00
167,6696,2017-01-28 05:21:25.814913+00:00,
168,6697,2017-01-28 05:51:51.446729+00:00,
